track 625: IDENTIFIED as 28 (CANDIDATE, conf=0.61)
track 626: NOT RECOGNIZED — face never detected (1 looks)
track 627: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 628: IDENTIFIED as 19 (UNKNOWN, conf=0.57)
track 629: NOT RECOGNIZED — face never detected (10 looks)
track 631: IDENTIFIED as 19 (UNKNOWN, conf=0.67)
track 634: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 635: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 636: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 637: IDENTIFIED as 19 (UNKNOWN, conf=0.38)
track 639: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 640: IDENTIFIED as 30 (REVIEW_REQUIRED, conf=0.75)
track 641: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 642: IDENTIFIED as 19 (CANDIDATE, conf=0.53)
track 643: IDENTIFIED as 19 (UNKNOWN, conf=0.26)
track 647: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 648: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 649: NOT RECOGNIZED — best sim 0.30 -> 28 (threshold 0.45)
track 651: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 652: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 654: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 656: IDENTIFIED as 19 (CANDIDATE, conf=0.62)
track 657: IDENTIFIED as 19 (UNKNOWN, conf=0.34)
track 658: IDENTIFIED as 04 (UNKNOWN, conf=0.30)
track 660: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 664: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 665: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 669: IDENTIFIED as 30 (REVIEW_REQUIRED, conf=0.74)
track 671: IDENTIFIED as 04 (CANDIDATE, conf=0.43)
track 674: IDENTIFIED as 19 (UNKNOWN, conf=0.57)
track 675: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.73)
track 676: IDENTIFIED as 19 (UNKNOWN, conf=0.26)
track 677: IDENTIFIED as 19 (UNKNOWN, conf=0.26)
track 684: IDENTIFIED as 19 (CANDIDATE, conf=0.46)
track 685: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
