track 335: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 340: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 342: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 345: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 346: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 347: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 348: IDENTIFIED as 29 (CANDIDATE, conf=0.66)
track 349: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 353: IDENTIFIED as 16 (LOCKED, conf=0.81)
track 354: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 356: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 359: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 360: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 361: IDENTIFIED as 28 (LOCKED, conf=0.91)
track 364: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 365: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 366: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 370: NOT RECOGNIZED — face never detected (4 looks)
track 376: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 377: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 382: NOT RECOGNIZED — face never detected (1 looks)
track 384: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 388: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 390: NOT RECOGNIZED — face never detected (5 looks)
track 391: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 392: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 393: NOT RECOGNIZED — face never detected (10 looks)
track 394: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 395: IDENTIFIED as 05 (LOCKED, conf=1.00)
track 397: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 398: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 399: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 400: IDENTIFIED as 05 (UNKNOWN, conf=0.24)
track 402: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 404: NOT RECOGNIZED — face never detected (15 looks)
track 406: NOT RECOGNIZED — best sim 0.28 -> 18 (threshold 0.45)
track 407: IDENTIFIED as 28 (CANDIDATE, conf=0.73)
track 408: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 411: NOT RECOGNIZED — rejected: bad exposure x1
track 413: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 414: IDENTIFIED as 05 (CANDIDATE, conf=0.82)
track 418: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 422: NOT RECOGNIZED — face never detected (10 looks)
track 423: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 424: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 425: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 426: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 427: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 428: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 431: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 432: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 434: IDENTIFIED as 30 (CANDIDATE, conf=0.52)
track 435: NOT RECOGNIZED — AMBIGUOUS 28 vs 29 (sim 0.45, margin 0.03)
track 436: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 437: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 438: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 440: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 442: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 443: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 445: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 446: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 447: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 448: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 451: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 453: NOT RECOGNIZED — face never detected (2 looks)
track 454: IDENTIFIED as 11 (UNKNOWN, conf=0.59)
track 457: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 459: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 460: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 461: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 462: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 464: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 466: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
