track 753: IDENTIFIED as 05 (UNKNOWN, conf=0.43)
track 755: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 756: IDENTIFIED as 05 (CANDIDATE, conf=0.53)
track 758: IDENTIFIED as 05 (UNKNOWN, conf=0.26)
track 760: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 762: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 764: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 765: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 767: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 768: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 772: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 775: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 780: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 781: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 783: IDENTIFIED as 19 (UNKNOWN, conf=0.40)
track 785: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 788: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 789: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 790: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 792: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 794: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 795: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 803: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 804: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 805: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 809: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 811: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 813: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 814: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 816: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 822: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 823: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 828: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 830: IDENTIFIED as 05 (UNKNOWN, conf=0.56)
track 832: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 833: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 836: IDENTIFIED as 28 (LOCKED, conf=0.85)
track 840: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 846: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 849: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 855: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 856: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 860: IDENTIFIED as 11 (UNKNOWN, conf=0.60)
track 862: NOT RECOGNIZED — best sim 0.35 -> 18 (threshold 0.45)
track 863: IDENTIFIED as 05 (UNKNOWN, conf=0.62)
track 867: IDENTIFIED as 19 (CANDIDATE, conf=0.39)
track 870: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 871: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
